hello | привет
good morning | доброе утро
good evening | добрый вечер
how are you | как дела
what is your name | как тебя зовут
my name is | меня зовут
name | имя
nice | славный
nice to meet you | приятно познакомиться
thank you | спасибо
where | где
where are you | где ты
please | пожалуйста
doggie | собачка
kitty | кошечка
yes | да
no | нет
goodbye | до свидания
see you later | увидимся позже
have a nice day | хорошего дня
happy birthday | с днем рождения
congratulations | поздравляю
sweetie pie | сладкий пирожочек
good luck | удачи
good | хорошо
get | получить
to get to the | попасть к
bus | автобус
bus stop | автобусная остановка
take care | береги себя
i love you | я тебя люблю
i miss you | я скучаю по тебе
excuse me | извините
excuse | отговорка
sorry | прости
where is the bathroom | где находится ванная
how | как
how much is this | сколько это стоит
i don’t understand | я не понимаю
could you help me | не могли бы вы мне помочь
what | что
what time is it | который час
i am hungry | я голоден
i am tired | я устал
i am happy | я счастлив
